txn_id,chargeback_count,chargeback_amount,open_chargebacks,critical_chargebacks,max_chargeback_severity
TXN,81,172430.44,34,4,CRITICAL
TXN00000007,1,2231.72,1,0,HIGH
TXN00000019,1,377.11,1,0,HIGH
TXN00000021,2,2568.1,0,0,LOW
TXN00000025,1,1302.18,0,0,LOW
TXN00000040,1,,0,0,LOW
TXN00000045,1,1101.8,0,0,MEDIUM
TXN00000062,1,330.73,0,0,LOW
TXN00000069,1,985.19,1,1,CRITICAL
TXN00000071,1,3311.22,1,0,MEDIUM
TXN00000074,1,,0,0,MEDIUM
TXN00000084,1,958.61,0,0,LOW
TXN00000086,1,411.83,0,0,HIGH
TXN00000101,1,703.07,0,1,CRITICAL
TXN00000106,1,7755.19,1,1,CRITICAL
TXN00000123,1,4808.45,1,0,HIGH
TXN00000132,2,1097.18,2,0,MEDIUM
TXN00000143,1,449.0,1,0,MEDIUM
TXN00000154,1,2025.66,0,0,LOW
TXN00000155,1,1535.06,1,0,MEDIUM
TXN00000164,1,3086.0,1,1,CRITICAL
TXN00000166,1,913.38,0,0,HIGH
TXN00000175,1,1092.58,0,0,HIGH
TXN00000182,1,17413.88,0,0,HIGH
TXN00000213,1,658.27,0,0,MEDIUM
TXN00000225,1,666.0,0,0,HIGH
TXN00000238,1,2745.21,1,0,MEDIUM
TXN00000248,1,1984.03,0,0,LOW
TXN00000255,1,2178.8,1,0,MEDIUM
TXN00000271,1,16937.48,1,0,MEDIUM
TXN00000272,1,9250.0,1,0,MEDIUM
TXN00000281,1,,0,0,HIGH
TXN00000284,1,2676.58,0,0,MEDIUM
TXN00000295,1,731.69,1,0,LOW
TXN00000296,1,512.0,0,0,HIGH
TXN00000311,1,2784.85,0,0,HIGH
TXN00000312,1,,1,0,MEDIUM
TXN00000318,1,,1,0,LOW
TXN00000319,1,2189.0,1,0,MEDIUM
TXN00000389,1,2566.03,0,0,HIGH
TXN00000405,1,3060.38,1,0,LOW
TXN00000406,1,2066.08,1,0,HIGH
TXN00000410,1,388.0,1,0,HIGH
TXN00000414,2,1612.58,0,0,LOW
TXN00000426,1,,0,0,MEDIUM
TXN00000433,1,979.0,1,0,LOW
TXN00000437,1,3962.0,1,0,LOW
TXN00000442,1,3270.0,0,0,LOW
TXN00000459,1,8278.26,1,0,HIGH
TXN00000462,1,9759.54,1,0,LOW
TXN00000463,1,,0,0,HIGH
TXN00000490,1,3134.07,0,0,LOW
TXN00000491,1,929.69,1,0,MEDIUM
TXN00000503,1,325.93,1,0,HIGH
TXN00000527,1,3784.42,1,0,LOW
TXN00000533,1,6055.78,1,0,MEDIUM
TXN00000534,1,1352.13,1,0,LOW
TXN00000541,1,1346.0,0,0,LOW
TXN00000546,2,427.33,1,0,MEDIUM
TXN00000567,1,1015.09,1,0,LOW
TXN00000594,1,2315.48,1,0,MEDIUM
TXN00000649,1,1174.17,1,0,MEDIUM
TXN00000653,1,4308.0,1,0,LOW
TXN00000675,1,3743.54,1,0,LOW
TXN00000677,1,2773.41,0,0,LOW
TXN00000679,1,4474.08,1,0,HIGH
TXN00000680,1,589.63,1,0,HIGH
TXN00000711,1,,0,0,HIGH
TXN00000724,1,454.0,0,0,HIGH
TXN00000736,1,,1,0,LOW
TXN00000751,1,3107.33,1,0,MEDIUM
TXN00000762,1,1083.4,0,0,HIGH
TXN00000769,1,509.24,1,0,MEDIUM
TXN00000779,1,4511.29,1,0,MEDIUM
TXN00000789,1,7945.0,1,0,HIGH
TXN00000794,2,6166.88,2,0,HIGH
TXN00000797,1,1020.66,0,0,LOW
TXN00000803,1,1719.0,1,0,MEDIUM
TXN00000806,1,3611.11,0,0,LOW
TXN00000818,1,1592.73,0,0,LOW
TXN00000822,1,966.31,1,0,LOW
TXN00000823,2,6401.09,1,0,MEDIUM
TXN00000835,1,,0,0,LOW
TXN00000841,1,2083.96,0,0,LOW
TXN00000843,2,947.54,1,0,LOW
TXN00000850,1,1203.18,1,0,MEDIUM
TXN00000863,1,2164.0,1,0,HIGH
TXN00000871,1,589.34,0,1,CRITICAL
TXN00000877,1,1251.7,0,0,LOW
TXN00000914,1,1207.28,1,0,HIGH
TXN00000916,1,577.0,1,0,HIGH
TXN00000917,1,2601.86,1,0,LOW
TXN00000921,1,1585.45,0,0,LOW
TXN00000926,1,486.0,1,0,MEDIUM
TXN00000939,1,3776.84,1,0,MEDIUM
TXN00000941,1,6049.12,0,0,LOW
TXN00000947,1,2075.0,0,0,MEDIUM
TXN00000950,1,1749.52,0,0,LOW
TXN00000954,1,12462.99,0,0,MEDIUM
TXN00000959,1,982.69,1,0,LOW
TXN00000964,2,5523.1,0,0,LOW
TXN00000967,1,1780.33,1,1,CRITICAL
TXN00000969,1,6622.0,1,0,MEDIUM
TXN00000976,1,1181.91,0,0,MEDIUM
TXN00000995,1,,1,0,MEDIUM
TXN00001025,1,5150.06,0,0,MEDIUM
TXN00001026,1,2910.7,1,0,MEDIUM
TXN00001028,1,,1,0,MEDIUM
TXN00001041,1,1977.08,1,0,LOW
TXN00001042,1,1526.17,1,0,HIGH
TXN00001047,1,518.0,0,0,LOW
TXN00001071,1,2117.2,0,0,MEDIUM
TXN00001072,1,893.6,1,0,MEDIUM
TXN00001095,1,1383.39,0,0,MEDIUM
TXN00001097,1,4816.91,0,0,MEDIUM
TXN00001105,1,310.15,1,0,LOW
TXN00001110,1,,1,0,HIGH
TXN00001120,1,8008.29,0,0,LOW
TXN00001121,1,993.0,0,0,MEDIUM
TXN00001134,2,3762.7,2,0,HIGH
TXN00001135,1,2731.02,0,0,HIGH
TXN00001152,1,1038.46,0,0,MEDIUM
TXN00001154,1,336.21,1,0,MEDIUM
TXN00001155,1,335.78,1,0,MEDIUM
TXN00001158,1,461.85,0,0,LOW
TXN00001160,1,2273.54,1,0,LOW
TXN00001169,2,16524.78,1,0,MEDIUM
TXN00001173,1,,0,0,MEDIUM
TXN00001182,1,261.51,1,0,MEDIUM
TXN00001198,1,3605.24,0,0,HIGH
TXN00001207,1,5779.34,0,0,MEDIUM
TXN00001209,1,2704.46,1,0,MEDIUM
TXN00001215,1,5146.97,0,0,MEDIUM
TXN00001222,2,10359.87,1,0,MEDIUM
TXN00001244,2,2127.67,1,0,MEDIUM
TXN00001246,1,702.0,0,0,HIGH
TXN00001251,1,802.62,0,0,HIGH
TXN00001256,1,,0,0,HIGH
TXN00001257,1,2576.33,0,0,LOW
TXN00001261,1,1010.81,0,0,LOW
TXN00001271,1,1190.0,1,0,HIGH
TXN00001275,1,2210.2,0,0,LOW
TXN00001284,1,141.27,0,0,MEDIUM
TXN00001285,1,420.0,1,0,LOW
TXN00001289,1,201.03,1,1,CRITICAL
TXN00001291,1,1404.87,1,0,HIGH
TXN00001292,1,33975.77,1,0,LOW
TXN00001309,1,,1,0,HIGH
TXN00001310,1,2026.3,1,0,LOW
TXN00001323,1,7329.0,0,0,LOW
TXN00001334,1,6666.14,1,0,MEDIUM
TXN00001342,1,2534.0,1,0,HIGH
TXN00001358,1,6742.91,1,1,CRITICAL
TXN00001371,1,1844.6,0,0,LOW
TXN00001376,2,2522.3,0,0,MEDIUM
TXN00001381,1,1001.43,1,0,LOW
TXN00001388,1,,0,0,HIGH
TXN00001391,1,1852.28,1,0,LOW
TXN00001392,1,508.21,1,0,MEDIUM
TXN00001397,1,2972.0,1,0,HIGH
TXN00001405,1,2105.51,0,0,MEDIUM
TXN00001412,1,2142.0,1,0,HIGH
TXN00001422,1,2080.17,0,0,LOW
TXN00001423,1,6009.85,1,0,MEDIUM
TXN00001434,1,3251.08,0,0,HIGH
TXN00001443,2,2236.39,2,0,MEDIUM
TXN00001461,1,740.03,1,0,MEDIUM
TXN00001464,1,1112.83,0,0,MEDIUM
TXN00001489,1,6345.72,0,0,HIGH
TXN00001496,1,5669.05,0,0,LOW
TXN00001501,1,1157.85,1,0,HIGH
TXN00001518,1,9039.58,1,0,HIGH
TXN00001539,1,2117.07,1,0,MEDIUM
TXN00001553,1,5796.41,1,1,CRITICAL
TXN00001568,2,16468.34,1,0,MEDIUM
TXN00001580,1,19958.58,1,1,CRITICAL
TXN00001582,1,6740.29,0,0,MEDIUM
TXN00001593,1,759.56,1,0,HIGH
TXN00001597,1,13348.89,1,1,CRITICAL
TXN00001614,1,13495.0,1,0,LOW
TXN00001617,2,18876.03,1,0,HIGH
TXN00001620,3,2648.76,0,0,HIGH
TXN00001628,2,,2,0,MEDIUM
TXN00001631,1,1405.08,0,0,LOW
TXN00001653,1,4022.0,1,0,MEDIUM
TXN00001654,1,11920.81,1,0,LOW
TXN00001655,1,2589.0,0,1,CRITICAL
TXN00001663,1,2379.68,0,0,LOW
TXN00001671,1,2605.0,1,0,HIGH
TXN00001675,1,994.02,1,0,MEDIUM
TXN00001679,2,3976.0,1,0,MEDIUM
TXN00001691,1,875.81,1,0,MEDIUM
TXN00001699,1,1995.0,0,0,LOW
TXN00001703,2,4166.45,1,0,MEDIUM
TXN00001705,1,2583.16,1,0,LOW
TXN00001710,1,,0,0,MEDIUM
TXN00001735,1,,0,0,MEDIUM
TXN00001739,1,482.37,1,0,LOW
TXN00001742,1,1286.87,1,0,LOW
TXN00001758,1,1416.0,1,0,LOW
TXN00001777,1,6040.0,0,0,MEDIUM
TXN00001778,1,2008.0,0,0,LOW
TXN00001780,1,2351.6,1,0,HIGH
TXN00001789,1,3163.91,0,0,LOW
TXN00001796,1,,0,0,LOW
TXN00001801,2,7245.79,2,0,LOW
TXN00001805,1,692.55,0,0,MEDIUM
TXN00001807,1,,1,0,LOW
TXN00001810,1,6930.0,0,0,LOW
TXN00001816,2,7008.2699999999995,1,0,HIGH
TXN00001821,1,12679.09,0,0,MEDIUM
